	,	,	,	,Quantidades,	,	,  	,	,	,Tamanhos,	,	,  	,	,Tempo (ms),	,	,	,	
Tela, Nome do Arquivo,img,css,js,html,outros,total,img,css,js,html,outros,total,Blocking,Waiting,Receiving,Total,Page load, On Content Load
 Search,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-22+23-49-06.har,1,3,7,1,0,12,35,130353,224371,6083,0,360842,1804,1887,700,4391,5032,4345
Choose City,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-22+23-49-22.har,1,0,1,1,0,3,35,0,41,8856,0,8932,170,448,7,625,3856,3587
Form,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-22+23-49-37.har,1,0,1,1,0,3,35,0,41,7496,0,7572,172,470,6,648,4014,3724
Confirm,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-22+23-50-00.har,1,0,1,1,0,3,35,0,41,4661,0,4737,198,3465,6,3669,6895,6681
Search,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-22+23-57-00.har,1,3,7,1,0,12,35,130353,224371,6083,0,360842,1749,1716,655,4120,4886,4200
Choose City,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-22+23-57-16.har,1,0,1,1,0,3,35,0,41,8856,0,8932,187,484,0,671,3922,3649
Form,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-22+23-57-31.har,1,0,1,1,0,3,35,0,41,7496,0,7572,175,452,15,642,3873,3598
Confirm,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-22+23-57-54.har,1,0,1,1,0,3,35,0,41,4661,0,4737,187,3479,0,3666,6810,6578
Search,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+00-05-00.har,1,3,7,1,0,12,35,130353,224371,6083,0,360842,1781,2136,655,4572,4948,4266
Choose City,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+00-05-16.har,1,0,1,1,0,3,35,0,41,8856,0,8932,172,437,15,624,3813,3543
Form,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+00-05-31.har,1,0,1,1,0,3,35,0,41,7496,0,7572,187,453,0,640,3774,3484
Confirm,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+00-05-54.har,1,0,1,1,0,3,35,0,41,4661,0,4737,187,3433,0,3620,6790,6551
Search,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+00-13-01.har,1,3,7,1,0,12,35,130353,224371,6083,0,360842,1671,2230,906,4807,5031,4141
Choose City,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+00-13-17.har,1,0,1,1,0,3,35,0,41,8856,0,8932,202,484,0,686,3872,3600
Form,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+00-13-32.har,1,0,1,1,0,3,35,0,41,7496,0,7572,187,469,0,656,3759,3493
Confirm,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+00-13-55.har,1,0,1,1,0,3,35,0,41,4661,0,4737,203,3479,16,3698,6834,6588
Search,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+00-21-01.har,1,3,7,1,0,12,35,130353,224371,6083,0,360842,1717,1966,763,4446,4795,4127
Choose City,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+00-21-17.har,1,0,1,1,0,3,35,0,41,8856,0,8932,172,467,16,655,3789,3507
Form,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+00-21-32.har,1,0,1,1,0,3,35,0,41,7496,0,7572,171,468,16,655,3816,3537
Confirm,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+00-21-55.har,1,0,1,1,0,3,35,0,41,4661,0,4737,203,3478,0,3681,6930,6701
Search,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+00-29-01.har,1,3,7,1,0,12,35,130353,224371,6083,0,360842,1745,1981,593,4319,4983,4204
Choose City,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+00-29-17.har,1,0,1,1,0,3,35,0,41,8856,0,8932,187,468,0,655,3895,3619
Form,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+00-29-32.har,1,0,1,1,0,3,35,0,41,7496,0,7572,187,483,0,670,3782,3510
