	,	,	,	,Quantidades,	,	,  	,	,	,Tamanhos,	,	,  	,	,Tempo (ms),	,	,	,	
Tela, Nome do Arquivo,img,css,js,html,outros,total,img,css,js,html,outros,total,Blocking,Waiting,Receiving,Total,Page load, On Content Load
 Home,D:\monofinal\src\harRepository\teste\yawdemo-jsf2gae.appspot.com+2015-06-30+19-45-53.har,3,2,1,1,0,7,333,101527,25743,5725,0,133328,649,2745,337,3731,4708,3848
Cadastro,D:\monofinal\src\harRepository\teste\yawdemo-jsf2gae.appspot.com+2015-06-30+19-46-07.har,0,0,0,1,0,1,0,0,0,4628,0,4628,0,397,4,401,3118,3048
Home2,D:\monofinal\src\harRepository\teste\yawdemo-jsf2gae.appspot.com+2015-06-30+19-46-24.har,0,0,0,2,0,2,0,0,0,5571,0,5571,0,1020,8,1028,3766,3686
Home,D:\monofinal\src\harRepository\teste\yawdemo-jsf2gae.appspot.com+2015-06-30+19-56-20.har,3,2,1,1,0,7,333,101527,25743,5922,0,133525,1286,4176,369,5831,5433,4504
Cadastro,D:\monofinal\src\harRepository\teste\yawdemo-jsf2gae.appspot.com+2015-06-30+19-56-34.har,0,0,0,1,0,1,0,0,0,4628,0,4628,0,436,4,440,3321,3166
Home2,D:\monofinal\src\harRepository\teste\yawdemo-jsf2gae.appspot.com+2015-06-30+19-56-51.har,0,0,0,2,0,2,0,0,0,5734,0,5734,3,1084,6,1093,3780,3707
Home,D:\monofinal\src\harRepository\teste\yawdemo-jsf2gae.appspot.com+2015-06-30+19-59-53.har,3,2,1,1,0,7,333,101527,25743,6119,0,133722,906,3192,368,4466,6560,5141
Cadastro,D:\monofinal\src\harRepository\teste\yawdemo-jsf2gae.appspot.com+2015-06-30+20-00-08.har,0,0,0,1,0,1,0,0,0,4628,0,4628,1,476,1,478,4152,4051
Home2,D:\monofinal\src\harRepository\teste\yawdemo-jsf2gae.appspot.com+2015-06-30+20-00-28.har,0,0,0,2,0,2,0,0,0,5897,0,5897,2,1127,4,1133,4821,4676
Home,D:\monofinal\src\harRepository\teste\yawdemo-jsf2gae.appspot.com+2015-06-30+20-16-58.har,3,2,1,1,0,7,333,101527,25743,6316,0,133919,718,2949,359,4026,5261,4241
Cadastro,D:\monofinal\src\harRepository\teste\yawdemo-jsf2gae.appspot.com+2015-06-30+20-17-12.har,0,0,0,1,0,1,0,0,0,4628,0,4628,0,437,0,437,3129,2979
Home2,D:\monofinal\src\harRepository\teste\yawdemo-jsf2gae.appspot.com+2015-06-30+20-17-29.har,0,0,0,2,0,2,0,0,0,6060,0,6060,0,1140,0,1140,3674,3631
Home,D:\monofinal\src\harRepository\teste\yawdemo-jsf2gae.appspot.com+2015-06-30+20-19-45.har,3,2,1,1,0,7,333,101527,25743,6513,0,134116,795,3073,513,4381,4946,4008
Cadastro,D:\monofinal\src\harRepository\teste\yawdemo-jsf2gae.appspot.com+2015-06-30+20-19-59.har,0,0,0,1,0,1,0,0,0,4628,0,4628,0,531,0,531,3208,3056
Home2,D:\monofinal\src\harRepository\teste\yawdemo-jsf2gae.appspot.com+2015-06-30+20-20-16.har,0,0,0,2,0,2,0,0,0,6223,0,6223,0,968,0,968,3601,3532
