	,	,	,	,Quantidades,	,	,  	,	,	,Tamanhos,	,	,  	,	,Tempo (ms),	,	,	,	
Tela, Nome do Arquivo,img,css,js,html,outros,total,img,css,js,html,outros,total,Blocking,Waiting,Receiving,Total,Page load, On Content Load
 Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+12-29-54.har,45,9,12,1,1,68,4809,38984,138069,44874,22748,249484,46683,11452,5617,63752,8518,2226
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+12-31-49.har,45,9,12,1,1,68,4809,38984,138069,44874,22748,249484,51473,10182,6336,67991,8504,5300
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+12-33-47.har,45,9,12,1,1,68,4808,38984,138069,44874,22748,249483,55047,10338,6710,72095,5618,2216
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+12-35-47.har,45,9,12,1,1,68,4811,38984,138069,44874,22748,249486,59877,12377,6708,78962,5605,2200
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+12-37-47.har,45,9,12,1,1,68,4809,38984,138069,44874,22748,249484,59550,11391,6860,77801,5673,2108
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+12-39-46.har,45,9,12,1,1,68,4807,38984,138069,44874,22748,249482,55127,11401,6551,73079,5607,2007
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+12-43-49.har,45,9,12,1,1,68,4826,38984,138069,44881,22748,249508,49116,14250,6706,70072,8577,3311
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+12-45-46.har,45,9,12,1,1,68,4808,38984,138069,44869,22748,249478,46257,9364,6349,61970,5676,2101
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+12-47-47.har,45,9,12,1,1,68,4809,38984,138069,44869,22748,249479,51434,13991,7090,72515,7016,1938
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+12-49-59.har,45,9,12,1,1,68,4809,38984,138069,44869,22748,249479,355480,25497,16392,397369,18761,11021
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+12-51-48.har,45,9,12,1,1,68,4809,38984,138069,44869,22748,249479,60252,10802,6803,77857,5729,2108
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+12-53-49.har,45,9,12,1,1,68,4809,38984,138069,44869,22748,249479,131531,11538,6742,149811,8537,5498
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+12-55-48.har,45,9,12,1,1,68,4809,38984,138069,44869,22748,249479,71743,11338,6971,90052,6191,2648
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+12-57-48.har,45,9,12,1,1,68,4809,38984,138069,44869,22748,249479,104339,12482,6630,123451,6299,2108
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+12-59-52.har,45,9,12,1,1,68,4808,38984,138069,44869,22748,249478,71047,13519,7080,91646,9091,5468
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+13-01-53.har,45,9,12,1,1,68,4809,38984,138069,44869,22748,249479,109413,20367,7251,137031,12279,2463
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+13-03-55.har,45,9,12,1,1,68,4808,38984,138069,44869,22748,249478,65805,20279,7441,93525,12915,8900
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+13-05-48.har,45,9,12,1,1,68,4809,38984,138069,44869,22748,249479,83056,10681,7879,101616,6220,2569
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+13-07-50.har,45,9,12,1,1,68,4808,38984,138069,44869,22748,249478,78601,10515,6161,95277,6316,2639
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+13-09-50.har,45,9,12,1,1,68,4808,38984,138069,44869,22748,249478,62995,12013,6233,81241,6242,2691
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+13-11-49.har,45,9,12,1,1,68,4808,38984,138069,44869,22748,249478,74397,14041,6944,95382,8946,5297
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+13-13-46.har,45,9,12,1,1,68,4809,38984,138069,44869,22748,249479,72364,15917,6662,94943,5649,2051
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+13-15-49.har,45,9,12,1,1,68,4809,38984,138069,44869,22748,249479,67923,16575,13071,97569,8044,2860
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+13-17-49.har,45,9,12,1,1,68,4808,38984,138069,44869,22748,249478,68061,14662,6814,89537,6861,2298
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+13-19-49.har,45,9,12,1,1,68,4809,38984,138069,44869,22748,249479,99876,14496,6740,121112,7243,3750
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+13-21-49.har,45,9,12,1,1,68,4809,38984,138069,44869,22748,249479,98530,15184,6395,120109,7924,2892
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+13-23-50.har,45,9,12,1,1,68,4809,38984,138069,44869,22748,249479,81143,17827,7915,106885,7904,2358
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+13-25-47.har,45,9,12,1,1,68,4811,38984,138069,44869,22748,249481,69618,14884,6878,91380,5801,2082
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+13-27-48.har,45,9,12,1,1,68,4807,38984,138069,44869,22748,249477,71602,11947,6679,90228,6034,2192
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+13-29-50.har,45,9,12,1,1,68,4809,38984,138069,44869,22748,249479,75749,15690,6818,98257,6312,2759
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo5\www.ufop.br+2015-05-05+13-31-58.har,45,9,12,1,1,68,4810,38984,138069,44869,22748,249480,103957,25164,13919,143040,15926,5150
